uniq_region,urban,age_s,prev,sens,spec
GN6_Kindia,Urban,1.0074593723617544,0.29775,0.42375,0.111
GN6_Mamou,Urban,1.0074593723617544,0.226,0.39,0.1145
GN6_Faranah,Urban,1.0074593723617544,0.4665,0.6435,0.26975
GN6_Conakry,Urban,1.0074593723617544,0.03175,0.61775,0.0175
GN6_Boke,Urban,1.0074593723617544,0.15875,0.4255,0.11975
GN6_Labe,Urban,1.0074593723617544,0.19775,0.324,0.0525
GN6_Kankan,Urban,1.0074593723617544,0.355,0.546,0.26275
GN6_N'Zerekore,Urban,1.0074593723617544,0.40775,0.6005,0.26475
GN6_Kindia,Rural,1.0074593723617544,0.646,0.79775,0.31925
GN6_Mamou,Rural,1.0074593723617544,0.517,0.69325,0.2305
GN6_Faranah,Rural,1.0074593723617544,0.8075,0.893,0.52525
GN6_Conakry,Rural,1.0074593723617544,0.1045,0.83825,0.10575
GN6_Boke,Rural,1.0074593723617544,0.297,0.784,0.3935
GN6_Labe,Rural,1.0074593723617544,0.41475,0.66475,0.19125
GN6_Kankan,Rural,1.0074593723617544,0.644,0.8905,0.6585
GN6_N'Zerekore,Rural,1.0074593723617544,0.75125,0.8705,0.54425
GN6_Kindia,Urban,1.5880178820918645,0.325,0.46825,0.12925
GN6_Mamou,Urban,1.5880178820918645,0.26175,0.43,0.118
GN6_Faranah,Urban,1.5880178820918645,0.509,0.66975,0.31325
GN6_Conakry,Urban,1.5880178820918645,0.02725,0.666,0.023
GN6_Boke,Urban,1.5880178820918645,0.175,0.444,0.13975
GN6_Labe,Urban,1.5880178820918645,0.23225,0.379,0.06125
GN6_Kankan,Urban,1.5880178820918645,0.3715,0.54775,0.29875
GN6_N'Zerekore,Urban,1.5880178820918645,0.426,0.647,0.28825
GN6_Kindia,Rural,1.5880178820918645,0.6715,0.82575,0.3435
GN6_Mamou,Rural,1.5880178820918645,0.547,0.742,0.2545
GN6_Faranah,Rural,1.5880178820918645,0.83125,0.91275,0.5515
GN6_Conakry,Rural,1.5880178820918645,0.1245,0.87075,0.118
GN6_Boke,Rural,1.5880178820918645,0.31725,0.8065,0.4365
GN6_Labe,Rural,1.5880178820918645,0.4425,0.7045,0.201
GN6_Kankan,Rural,1.5880178820918645,0.6795,0.897,0.67575
GN6_N'Zerekore,Rural,1.5880178820918645,0.7775,0.885,0.57575
GN6_Kindia,Urban,-0.15365764709846555,0.239,0.34925,0.08825
GN6_Mamou,Urban,-0.15365764709846555,0.19625,0.3125,0.08975
GN6_Faranah,Urban,-0.15365764709846555,0.384,0.58675,0.22175
GN6_Conakry,Urban,-0.15365764709846555,0.0225,0.504,0.012
GN6_Boke,Urban,-0.15365764709846555,0.1225,0.35125,0.09175
GN6_Labe,Urban,-0.15365764709846555,0.176,0.25175,0.046
GN6_Kankan,Urban,-0.15365764709846555,0.294,0.51525,0.20675
GN6_N'Zerekore,Urban,-0.15365764709846555,0.3315,0.5265,0.21025
GN6_Kindia,Rural,-0.15365764709846555,0.5935,0.7565,0.263
GN6_Mamou,Rural,-0.15365764709846555,0.451,0.63525,0.19925
GN6_Faranah,Rural,-0.15365764709846555,0.759,0.8675,0.437
GN6_Conakry,Rural,-0.15365764709846555,0.0865,0.784,0.0945
GN6_Boke,Rural,-0.15365764709846555,0.244,0.73775,0.32775
GN6_Labe,Rural,-0.15365764709846555,0.34725,0.56025,0.17125
GN6_Kankan,Rural,-0.15365764709846555,0.586,0.8695,0.57725
GN6_N'Zerekore,Rural,-0.15365764709846555,0.6965,0.826,0.47425
GN6_Kindia,Urban,-0.15365764709846555,0.24725,0.34425,0.0855
GN6_Mamou,Urban,-0.15365764709846555,0.1895,0.3165,0.09125
GN6_Faranah,Urban,-0.15365764709846555,0.3905,0.584,0.22175
GN6_Conakry,Urban,-0.15365764709846555,0.02275,0.49925,0.01475
GN6_Boke,Urban,-0.15365764709846555,0.12625,0.35325,0.08525
GN6_Labe,Urban,-0.15365764709846555,0.1745,0.244,0.041
GN6_Kankan,Urban,-0.15365764709846555,0.292,0.50925,0.205
GN6_N'Zerekore,Urban,-0.15365764709846555,0.3425,0.52225,0.21875
GN6_Kindia,Rural,-0.15365764709846555,0.5865,0.75725,0.2575
GN6_Mamou,Rural,-0.15365764709846555,0.44225,0.6435,0.2035
GN6_Faranah,Rural,-0.15365764709846555,0.746,0.88075,0.44175
GN6_Conakry,Rural,-0.15365764709846555,0.1,0.79175,0.088
GN6_Boke,Rural,-0.15365764709846555,0.24075,0.72475,0.31675
GN6_Labe,Rural,-0.15365764709846555,0.3425,0.5685,0.16275
GN6_Kankan,Rural,-0.15365764709846555,0.5755,0.87775,0.56175
GN6_N'Zerekore,Rural,-0.15365764709846555,0.708,0.83,0.4685
GN6_Kindia,Urban,1.6525243831729877,0.3155,0.4655,0.1265
GN6_Mamou,Urban,1.6525243831729877,0.2695,0.43425,0.125
GN6_Faranah,Urban,1.6525243831729877,0.5035,0.6835,0.31625
GN6_Conakry,Urban,1.6525243831729877,0.0305,0.6385,0.01925
GN6_Boke,Urban,1.6525243831729877,0.18025,0.46075,0.13525
GN6_Labe,Urban,1.6525243831729877,0.23975,0.3915,0.061
GN6_Kankan,Urban,1.6525243831729877,0.376,0.568,0.29375
GN6_N'Zerekore,Urban,1.6525243831729877,0.4265,0.65075,0.2765
GN6_Kindia,Rural,1.6525243831729877,0.685,0.8315,0.344
GN6_Mamou,Rural,1.6525243831729877,0.543,0.74825,0.2765
GN6_Faranah,Rural,1.6525243831729877,0.828,0.9145,0.55275
GN6_Conakry,Rural,1.6525243831729877,0.1215,0.87025,0.1095
GN6_Boke,Rural,1.6525243831729877,0.331,0.8145,0.4395
GN6_Labe,Rural,1.6525243831729877,0.46175,0.6975,0.20825
GN6_Kankan,Rural,1.6525243831729877,0.6715,0.907,0.676
GN6_N'Zerekore,Rural,1.6525243831729877,0.7865,0.89175,0.587
GN6_Kindia,Urban,0.7494333680372611,0.28275,0.4145,0.1015
GN6_Mamou,Urban,0.7494333680372611,0.208,0.3815,0.112
GN6_Faranah,Urban,0.7494333680372611,0.4465,0.63,0.2635
GN6_Conakry,Urban,0.7494333680372611,0.02875,0.5745,0.01275
GN6_Boke,Urban,0.7494333680372611,0.14525,0.41925,0.119
GN6_Labe,Urban,0.7494333680372611,0.20825,0.3095,0.0565
GN6_Kankan,Urban,0.7494333680372611,0.319,0.52975,0.25175
GN6_N'Zerekore,Urban,0.7494333680372611,0.40075,0.58625,0.2525
GN6_Kindia,Rural,0.7494333680372611,0.62775,0.79525,0.317
GN6_Mamou,Rural,0.7494333680372611,0.49625,0.699,0.235
GN6_Faranah,Rural,0.7494333680372611,0.7955,0.8935,0.49325
GN6_Conakry,Rural,0.7494333680372611,0.1095,0.83575,0.1035
GN6_Boke,Rural,0.7494333680372611,0.2645,0.781,0.392
GN6_Labe,Rural,0.7494333680372611,0.39425,0.62375,0.18525
GN6_Kankan,Rural,0.7494333680372611,0.624,0.88425,0.6195
GN6_N'Zerekore,Rural,0.7494333680372611,0.73425,0.85675,0.5405
GN6_Kindia,Urban,-0.5406966535852056,0.22525,0.3505,0.07875
GN6_Mamou,Urban,-0.5406966535852056,0.17375,0.295,0.0875
GN6_Faranah,Urban,-0.5406966535852056,0.36025,0.55725,0.20225
GN6_Conakry,Urban,-0.5406966535852056,0.01725,0.465,0.0115
GN6_Boke,Urban,-0.5406966535852056,0.11725,0.339,0.07925
GN6_Labe,Urban,-0.5406966535852056,0.1605,0.22,0.04325
GN6_Kankan,Urban,-0.5406966535852056,0.27825,0.48875,0.193
GN6_N'Zerekore,Urban,-0.5406966535852056,0.31075,0.4995,0.20975
GN6_Kindia,Rural,-0.5406966535852056,0.55675,0.73575,0.246
GN6_Mamou,Rural,-0.5406966535852056,0.413,0.6125,0.18275
GN6_Faranah,Rural,-0.5406966535852056,0.74275,0.862,0.4225
GN6_Conakry,Rural,-0.5406966535852056,0.083,0.75975,0.0805
GN6_Boke,Rural,-0.5406966535852056,0.2235,0.7345,0.30275
GN6_Labe,Rural,-0.5406966535852056,0.31975,0.51575,0.16475
GN6_Kankan,Rural,-0.5406966535852056,0.5675,0.87125,0.544
GN6_N'Zerekore,Rural,-0.5406966535852056,0.6645,0.809,0.442
GN6_Kindia,Urban,-1.0567486622341922,0.21575,0.30825,0.0765
GN6_Mamou,Urban,-1.0567486622341922,0.15175,0.27575,0.08075
GN6_Faranah,Urban,-1.0567486622341922,0.33875,0.52575,0.2015
GN6_Conakry,Urban,-1.0567486622341922,0.013,0.4235,0.0125
GN6_Boke,Urban,-1.0567486622341922,0.1065,0.30625,0.0785
GN6_Labe,Urban,-1.0567486622341922,0.154,0.18625,0.0345
GN6_Kankan,Urban,-1.0567486622341922,0.24425,0.48475,0.17025
GN6_N'Zerekore,Urban,-1.0567486622341922,0.30125,0.46875,0.19
GN6_Kindia,Rural,-1.0567486622341922,0.523,0.709,0.228
GN6_Mamou,Rural,-1.0567486622341922,0.40225,0.5565,0.17575
GN6_Faranah,Rural,-1.0567486622341922,0.70625,0.84075,0.40925
GN6_Conakry,Rural,-1.0567486622341922,0.08025,0.724,0.07875
GN6_Boke,Rural,-1.0567486622341922,0.204,0.69025,0.26575
GN6_Labe,Rural,-1.0567486622341922,0.302,0.4805,0.1475
GN6_Kankan,Rural,-1.0567486622341922,0.5485,0.86325,0.50175
GN6_N'Zerekore,Rural,-1.0567486622341922,0.64625,0.787,0.43125
GN6_Kindia,Urban,0.9429528712806311,0.27525,0.405,0.10425
GN6_Mamou,Urban,0.9429528712806311,0.238,0.391,0.1155
GN6_Faranah,Urban,0.9429528712806311,0.46175,0.64025,0.277
GN6_Conakry,Urban,0.9429528712806311,0.02575,0.6105,0.018
GN6_Boke,Urban,0.9429528712806311,0.14825,0.43525,0.1245
GN6_Labe,Urban,0.9429528712806311,0.20775,0.32525,0.058
GN6_Kankan,Urban,0.9429528712806311,0.352,0.5595,0.27625
GN6_N'Zerekore,Urban,0.9429528712806311,0.3795,0.60175,0.26475
GN6_Kindia,Rural,0.9429528712806311,0.63625,0.8075,0.3225
GN6_Mamou,Rural,0.9429528712806311,0.5205,0.70275,0.24725
GN6_Faranah,Rural,0.9429528712806311,0.79975,0.89775,0.50375
GN6_Conakry,Rural,0.9429528712806311,0.10375,0.84125,0.10425
GN6_Boke,Rural,0.9429528712806311,0.28225,0.777,0.3835
